"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"title","1.0","title-{goodreads_367+goodreads_51773+recommendation_150690+recommendation_218300+recommendation_35610+recommendation_44954+recommendation_53204+recommendation_73501}","goodreads_367+goodreads_51773+recommendation_150690+recommendation_218300+recommendation_35610+recommendation_44954+recommendation_53204+recommendation_73501","{Mansfield Park|Mansfield Park|Mansfield Park|Mansfield Park|Mansfield Park|Mansfield Park|Mansfield Park|Mansfield Park}","Mansfield Park",,
"title","1.0","title-{goodreads_32447+recommendation_144264}","goodreads_32447+recommendation_144264","{Jane Eyre|Jane Eyre}","Jane Eyre",,
"authors","1.0","authors-{goodreads_34128+recommendation_220755}","goodreads_34128+recommendation_220755","{[de.unimannheim.wdi.model.Author@5f17a50f]|[de.unimannheim.wdi.model.Author@5f17a50f]}","[de.unimannheim.wdi.model.Author@5f17a50f]",,
"publisher","0.0","publisher-{recommendation_215414+recommendation_7874}","recommendation_215414+recommendation_7874","{Random House Audio|Ballantine Books}","Random House Audio",,
"publisher","0.0","publisher-{recommendation_104563+recommendation_192858+recommendation_82764+recommendation_86382}","recommendation_104563+recommendation_192858+recommendation_82764+recommendation_86382","{Victor Kamkin|Yale University Press|Pantheon Books|Wildside Press}","Yale University Press",,
"publisher","1.0","publisher-{recommendation_206812}","recommendation_206812","{Bantam Books}","Bantam Books",,
"title","1.0","title-{goodreads_37152+goodreads_47106+goodreads_53+kindle_9745+recommendation_101193+recommendation_147065+recommendation_174569+recommendation_190777+recommendation_21236+recommendation_221565+recommendation_245414+recommendation_26927+recommendation_72718}","goodreads_37152+goodreads_47106+goodreads_53+kindle_9745+recommendation_101193+recommendation_147065+recommendation_174569+recommendation_190777+recommendation_21236+recommendation_221565+recommendation_245414+recommendation_26927+recommendation_72718","{A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities|A Tale of Two Cities}","A Tale of Two Cities",,
"title","1.0","title-{goodreads_30236+recommendation_55055}","goodreads_30236+recommendation_55055","{Cafe Europa: Life After Communism|Cafe Europa: Life After Communism}","Cafe Europa: Life After Communism",,
"authors","1.0","authors-{goodreads_26051+goodreads_31368+recommendation_197237}","goodreads_26051+goodreads_31368+recommendation_197237","{[de.unimannheim.wdi.model.Author@fc456bef]|[de.unimannheim.wdi.model.Author@fc456bef]|[de.unimannheim.wdi.model.Author@fc456bef]}","[de.unimannheim.wdi.model.Author@fc456bef]",,
"title","1.0","title-{goodreads_18632+goodreads_213+goodreads_39780+goodreads_50783+kindle_47855+recommendation_1066+recommendation_10740+recommendation_125090+recommendation_20656+recommendation_23135+recommendation_57415+recommendation_6619}","goodreads_18632+goodreads_213+goodreads_39780+goodreads_50783+kindle_47855+recommendation_1066+recommendation_10740+recommendation_125090+recommendation_20656+recommendation_23135+recommendation_57415+recommendation_6619","{A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess|A Little Princess}","A Little Princess",,
"title","1.0","title-{goodreads_107+goodreads_32441+goodreads_44946+goodreads_49777+recommendation_119595+recommendation_12468+recommendation_149768+recommendation_256454+recommendation_52838+recommendation_53189+recommendation_7611+recommendation_91625+recommendation_97902}","goodreads_107+goodreads_32441+goodreads_44946+goodreads_49777+recommendation_119595+recommendation_12468+recommendation_149768+recommendation_256454+recommendation_52838+recommendation_53189+recommendation_7611+recommendation_91625+recommendation_97902","{Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations|Great Expectations}","Great Expectations",,
"title","1.0","title-{goodreads_19041+goodreads_32652+goodreads_33+goodreads_41903+recommendation_10018+recommendation_139639+recommendation_42343}","goodreads_19041+goodreads_32652+goodreads_33+goodreads_41903+recommendation_10018+recommendation_139639+recommendation_42343","{Anne of Green Gables|Anne of Green Gables|Anne of Green Gables|Anne of Green Gables|Anne of Green Gables|Anne of Green Gables|Anne of Green Gables}","Anne of Green Gables",,
"publisher","0.0","publisher-{recommendation_221832+recommendation_46209}","recommendation_221832+recommendation_46209","{Del Rey Books|Bantam}","Del Rey Books",,
"authors","1.0","authors-{goodreads_2999+recommendation_30038+recommendation_5948}","goodreads_2999+recommendation_30038+recommendation_5948","{[de.unimannheim.wdi.model.Author@1765925a]|[de.unimannheim.wdi.model.Author@1765925a]|[de.unimannheim.wdi.model.Author@1765925a]}","[de.unimannheim.wdi.model.Author@1765925a]",,
"authors","1.0","authors-{goodreads_50542+recommendation_147885}","goodreads_50542+recommendation_147885","{[de.unimannheim.wdi.model.Author@d1250199]|[de.unimannheim.wdi.model.Author@d1250199]}","[de.unimannheim.wdi.model.Author@d1250199]",,
"publisher","1.0","publisher-{recommendation_110645}","recommendation_110645","{Berkley Publishing Group}","Berkley Publishing Group",,
"title","1.0","title-{goodreads_1123+kindle_15074+recommendation_100605+recommendation_117103+recommendation_152835+recommendation_20202+recommendation_237541+recommendation_29514+recommendation_9963}","goodreads_1123+kindle_15074+recommendation_100605+recommendation_117103+recommendation_152835+recommendation_20202+recommendation_237541+recommendation_29514+recommendation_9963","{Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen|Cheaper by the Dozen}","Cheaper by the Dozen",,
"title","1.0","title-{goodreads_44374+recommendation_18746}","goodreads_44374+recommendation_18746","{Timepiece|Timepiece}","Timepiece",,
"publisher","1.0","publisher-{recommendation_222193}","recommendation_222193","{Back Bay Books}","Back Bay Books",,
"authors","0.5","authors-{goodreads_2365+goodreads_28055+recommendation_209546+recommendation_26525+recommendation_64082+recommendation_9949}","goodreads_2365+goodreads_28055+recommendation_209546+recommendation_26525+recommendation_64082+recommendation_9949","{[de.unimannheim.wdi.model.Author@c3a33a]|[de.unimannheim.wdi.model.Author@c3a33a]|[de.unimannheim.wdi.model.Author@ad81c934]|[de.unimannheim.wdi.model.Author@2fa6d914]|[de.unimannheim.wdi.model.Author@ad81c934]|[de.unimannheim.wdi.model.Author@ad81c934]}","[de.unimannheim.wdi.model.Author@2fa6d914, de.unimannheim.wdi.model.Author@ad81c934, de.unimannheim.wdi.model.Author@c3a33a]",,
"title","1.0","title-{goodreads_805+recommendation_10792+recommendation_11982}","goodreads_805+recommendation_10792+recommendation_11982","{Wild Swans: Three Daughters of China|Wild Swans: Three Daughters of China|Wild Swans: Three Daughters of China}","Wild Swans: Three Daughters of China",,
"title","1.0","title-{goodreads_2399+recommendation_171247+recommendation_59831+recommendation_71119+recommendation_7482}","goodreads_2399+recommendation_171247+recommendation_59831+recommendation_71119+recommendation_7482","{The Glass Lake|The Glass Lake|The Glass Lake|The Glass Lake|The Glass Lake}","The Glass Lake",,
"title","1.0","title-{goodreads_29648+recommendation_199878+recommendation_251815}","goodreads_29648+recommendation_199878+recommendation_251815","{Christ in Concrete|Christ in Concrete|Christ in Concrete}","Christ in Concrete",,
"authors","1.0","authors-{goodreads_1457+recommendation_106767+recommendation_167036+recommendation_20932+recommendation_238003+recommendation_3804+recommendation_43728+recommendation_75084+recommendation_8898}","goodreads_1457+recommendation_106767+recommendation_167036+recommendation_20932+recommendation_238003+recommendation_3804+recommendation_43728+recommendation_75084+recommendation_8898","{[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]|[de.unimannheim.wdi.model.Author@50f1e71]}","[de.unimannheim.wdi.model.Author@50f1e71]",,
"title","1.0","title-{goodreads_53225+kindle_48732+recommendation_131517}","goodreads_53225+kindle_48732+recommendation_131517","{The Punch: One Night, Two Lives, and the Fight That Changed Basketball Forever|The Punch: One Night, Two Lives, and the Fight That Changed Basketball Forever|The Punch: One Night, Two Lives, and the Fight That Changed Basketball Forever}","The Punch: One Night, Two Lives, and the Fight That Changed Basketball Forever",,
"title","1.0","title-{goodreads_3382+recommendation_233398}","goodreads_3382+recommendation_233398","{A Deepness in the Sky|A Deepness in the Sky}","A Deepness in the Sky",,
"title","1.0","title-{goodreads_26479+goodreads_45224+goodreads_881+recommendation_249310+recommendation_3766+recommendation_38746}","goodreads_26479+goodreads_45224+goodreads_881+recommendation_249310+recommendation_3766+recommendation_38746","{Childhood's End|Childhood's End|Childhood's End|Childhood's End|Childhood's End|Childhood's End}","Childhood's End",,
"authors","1.0","authors-{goodreads_401+recommendation_16674+recommendation_180128+recommendation_84677+recommendation_8813}","goodreads_401+recommendation_16674+recommendation_180128+recommendation_84677+recommendation_8813","{[de.unimannheim.wdi.model.Author@e32d4e04]|[de.unimannheim.wdi.model.Author@e32d4e04]|[de.unimannheim.wdi.model.Author@e32d4e04]|[de.unimannheim.wdi.model.Author@e32d4e04]|[de.unimannheim.wdi.model.Author@e32d4e04]}","[de.unimannheim.wdi.model.Author@e32d4e04]",,
"authors","1.0","authors-{goodreads_15948+recommendation_184867}","goodreads_15948+recommendation_184867","{[de.unimannheim.wdi.model.Author@6aac50f1]|[de.unimannheim.wdi.model.Author@6aac50f1]}","[de.unimannheim.wdi.model.Author@6aac50f1]",,
"title","1.0","title-{goodreads_21718+recommendation_259819}","goodreads_21718+recommendation_259819","{A Christmas Carol|A Christmas Carol}","A Christmas Carol",,
"title","1.0","title-{goodreads_38741+recommendation_28566+recommendation_52919}","goodreads_38741+recommendation_28566+recommendation_52919","{Declare|Declare|Declare}","Declare",,
"title","1.0","title-{goodreads_1888+recommendation_102115}","goodreads_1888+recommendation_102115","{Utopia|Utopia}","Utopia",,
"publisher","1.0","publisher-{recommendation_91160}","recommendation_91160","{Ace Books}","Ace Books",,
"authors","1.0","authors-{goodreads_48051+recommendation_12436+recommendation_125020}","goodreads_48051+recommendation_12436+recommendation_125020","{[de.unimannheim.wdi.model.Author@6dd1fc7]|[de.unimannheim.wdi.model.Author@6dd1fc7]|[de.unimannheim.wdi.model.Author@6dd1fc7]}","[de.unimannheim.wdi.model.Author@6dd1fc7]",,
"title","1.0","title-{goodreads_12900+goodreads_28256+recommendation_15498+recommendation_3417}","goodreads_12900+goodreads_28256+recommendation_15498+recommendation_3417","{Cat's Cradle|Cat's Cradle|Cat's Cradle|Cat's Cradle}","Cat's Cradle",,
"title","1.0","title-{goodreads_866+recommendation_3896+recommendation_776}","goodreads_866+recommendation_3896+recommendation_776","{The Guardian|The Guardian|The Guardian}","The Guardian",,
"title","1.0","title-{goodreads_12993+recommendation_138849+recommendation_21006+recommendation_78892}","goodreads_12993+recommendation_138849+recommendation_21006+recommendation_78892","{L.A. Requiem|L.A. Requiem|L.A. Requiem|L.A. Requiem}","L.A. Requiem",,
"publisher","0.2857142857142857","publisher-{recommendation_103833+recommendation_16827+recommendation_2367+recommendation_264290+recommendation_42288+recommendation_63055+recommendation_7094}","recommendation_103833+recommendation_16827+recommendation_2367+recommendation_264290+recommendation_42288+recommendation_63055+recommendation_7094","{J'ai lu|Penguin USA (Paper)|Washington Square Press|Washington Square Press|Barron's Educational Series|Signet Book|Pocket Books}","Barron's Educational Series",,
"publisher","1.0","publisher-{recommendation_45637}","recommendation_45637","{Grove Press}","Grove Press",,
"publisher","0.0","publisher-{recommendation_2017+recommendation_51612+recommendation_62502}","recommendation_2017+recommendation_51612+recommendation_62502","{Nan A. Talese|Virago Press Limited|Raincoast Book Dist Ltd}","Raincoast Book Dist Ltd",,
"title","1.0","title-{goodreads_13460+recommendation_109874+recommendation_14202+recommendation_243963+recommendation_250751}","goodreads_13460+recommendation_109874+recommendation_14202+recommendation_243963+recommendation_250751","{Sons of Fortune|Sons of Fortune|Sons of Fortune|Sons of Fortune|Sons of Fortune}","Sons of Fortune",,
"publisher","1.0","publisher-{recommendation_133411}","recommendation_133411","{Warner Books}","Warner Books",,
"publisher","0.5","publisher-{recommendation_106278+recommendation_110353+recommendation_123041+recommendation_32420}","recommendation_106278+recommendation_110353+recommendation_123041+recommendation_32420","{Bantam Books|Bantam Books|Harpercollins|Bantam}","Harpercollins",,
"publisher","1.0","publisher-{recommendation_114850}","recommendation_114850","{Berkley Publishing Group}","Berkley Publishing Group",,
"title","1.0","title-{goodreads_799+recommendation_192231+recommendation_21684+recommendation_247076+recommendation_29497+recommendation_4181}","goodreads_799+recommendation_192231+recommendation_21684+recommendation_247076+recommendation_29497+recommendation_4181","{The Bridges of Madison County|The Bridges of Madison County|The Bridges of Madison County|The Bridges of Madison County|The Bridges of Madison County|The Bridges of Madison County}","The Bridges of Madison County",,
"publisher","0.0","publisher-{recommendation_13194+recommendation_18479}","recommendation_13194+recommendation_18479","{New Amer Library Classics|Signet Book}","New Amer Library Classics",,
"title","1.0","title-{goodreads_4003+recommendation_176859+recommendation_211194}","goodreads_4003+recommendation_176859+recommendation_211194","{In the Skin of a Lion|In the Skin of a Lion|In the Skin of a Lion}","In the Skin of a Lion",,
"publisher","0.0","publisher-{recommendation_208515+recommendation_38990}","recommendation_208515+recommendation_38990","{Puffin Books|Penguin USA}","Puffin Books",,
"title","1.0","title-{goodreads_51656+recommendation_114984+recommendation_180425}","goodreads_51656+recommendation_114984+recommendation_180425","{The Lion of Boaz-Jachin and Jachin-Boaz|The Lion of Boaz-Jachin and Jachin-Boaz|The Lion of Boaz-Jachin and Jachin-Boaz}","The Lion of Boaz-Jachin and Jachin-Boaz",,
"title","1.0","title-{goodreads_24510+goodreads_42742+goodreads_44+recommendation_18000}","goodreads_24510+goodreads_42742+goodreads_44+recommendation_18000","{Fahrenheit 451|Fahrenheit 451|Fahrenheit 451|Fahrenheit 451}","Fahrenheit 451",,
"publisher","0.0","publisher-{recommendation_40759+recommendation_7463+recommendation_79896+recommendation_94970}","recommendation_40759+recommendation_7463+recommendation_79896+recommendation_94970","{Harpercollins|Perennial|HarperCollins|Penguin USA}","HarperCollins",,
"authors","1.0","authors-{goodreads_203+goodreads_44295+recommendation_246}","goodreads_203+goodreads_44295+recommendation_246","{[de.unimannheim.wdi.model.Author@afcd7362]|[de.unimannheim.wdi.model.Author@afcd7362]|[de.unimannheim.wdi.model.Author@afcd7362]}","[de.unimannheim.wdi.model.Author@afcd7362]",,
"title","1.0","title-{goodreads_25277+recommendation_113545+recommendation_271305}","goodreads_25277+recommendation_113545+recommendation_271305","{Dreamsnake|Dreamsnake|Dreamsnake}","Dreamsnake",,
"title","1.0","title-{goodreads_53638+recommendation_24974}","goodreads_53638+recommendation_24974","{The Dream Merchants|The Dream Merchants}","The Dream Merchants",,
"authors","0.6666666666666666","authors-{goodreads_13594+recommendation_649+recommendation_74723}","goodreads_13594+recommendation_649+recommendation_74723","{[de.unimannheim.wdi.model.Author@9971ff19]|[de.unimannheim.wdi.model.Author@b2b296f9]|[de.unimannheim.wdi.model.Author@b2b296f9]}","[de.unimannheim.wdi.model.Author@9971ff19, de.unimannheim.wdi.model.Author@b2b296f9]",,
"title","1.0","title-{goodreads_26708+kindle_30511+recommendation_198697}","goodreads_26708+kindle_30511+recommendation_198697","{The Epicure's Lament|The Epicure's Lament|The Epicure's Lament}","The Epicure's Lament",,
"authors","1.0","authors-{goodreads_18817+goodreads_22103+goodreads_28042+goodreads_37211+goodreads_451+kindle_14624+recommendation_101854+recommendation_225065+recommendation_90557}","goodreads_18817+goodreads_22103+goodreads_28042+goodreads_37211+goodreads_451+kindle_14624+recommendation_101854+recommendation_225065+recommendation_90557","{[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]|[de.unimannheim.wdi.model.Author@5c5d57ae]}","[de.unimannheim.wdi.model.Author@5c5d57ae]",,
"title","1.0","title-{goodreads_45895+recommendation_27395+recommendation_5586}","goodreads_45895+recommendation_27395+recommendation_5586","{Polar Star|Polar Star|Polar Star}","Polar Star",,
"publisher","0.0","publisher-{recommendation_192077+recommendation_93347}","recommendation_192077+recommendation_93347","{Books on Tape, Inc.|Noonday Press}","Books on Tape, Inc.",,
"publisher","1.0","publisher-{recommendation_18746}","recommendation_18746","{Pocket}","Pocket",,
"title","1.0","title-{goodreads_47+kindle_24875+kindle_9723+recommendation_103918+recommendation_245675+recommendation_259510+recommendation_268124+recommendation_45138+recommendation_63208}","goodreads_47+kindle_24875+kindle_9723+recommendation_103918+recommendation_245675+recommendation_259510+recommendation_268124+recommendation_45138+recommendation_63208","{The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn|The Adventures of Huckleberry Finn}","The Adventures of Huckleberry Finn",,
"publisher","1.0","publisher-{recommendation_10091}","recommendation_10091","{Simon &amp; Schuster Children's Publishing}","Simon &amp; Schuster Children's Publishing",,
"title","1.0","title-{goodreads_44907+goodreads_6292+recommendation_91327+recommendation_93559}","goodreads_44907+goodreads_6292+recommendation_91327+recommendation_93559","{If Nobody Speaks of Remarkable Things|If Nobody Speaks of Remarkable Things|If Nobody Speaks of Remarkable Things|If Nobody Speaks of Remarkable Things}","If Nobody Speaks of Remarkable Things",,
"title","1.0","title-{goodreads_19112+goodreads_33523+goodreads_38559+goodreads_413+recommendation_145581}","goodreads_19112+goodreads_33523+goodreads_38559+goodreads_413+recommendation_145581","{American Psycho|American Psycho|American Psycho|American Psycho|American Psycho}","American Psycho",,
"authors","1.0","authors-{goodreads_37817+recommendation_166188+recommendation_184461+recommendation_236443}","goodreads_37817+recommendation_166188+recommendation_184461+recommendation_236443","{[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]|[de.unimannheim.wdi.model.Author@a19a30e0]}","[de.unimannheim.wdi.model.Author@a19a30e0]",,
"publisher","0.5","publisher-{recommendation_14370+recommendation_232584+recommendation_3620+recommendation_79728}","recommendation_14370+recommendation_232584+recommendation_3620+recommendation_79728","{Berkley Publishing Group|Turtleback Books Distributed by Demco Media|Berkley Publishing Group|Putnam Pub Group}","Turtleback Books Distributed by Demco Media",,
"title","1.0","title-{goodreads_8398+recommendation_93875}","goodreads_8398+recommendation_93875","{Ramona Quimby, Age 8|Ramona Quimby, Age 8}","Ramona Quimby, Age 8",,
"publisher","1.0","publisher-{recommendation_8227}","recommendation_8227","{New Amer Library}","New Amer Library",,
"title","1.0","title-{goodreads_44112+recommendation_14242+recommendation_231000+recommendation_8109+recommendation_94431}","goodreads_44112+recommendation_14242+recommendation_231000+recommendation_8109+recommendation_94431","{Dr. Atkins' New Diet Revolution|Dr. Atkins' New Diet Revolution|Dr. Atkins' New Diet Revolution|Dr. Atkins' New Diet Revolution|Dr. Atkins' New Diet Revolution}","Dr. Atkins' New Diet Revolution",,
"publisher","0.0","publisher-{recommendation_12044+recommendation_195929+recommendation_268074}","recommendation_12044+recommendation_195929+recommendation_268074","{Random House~trade|Random House Audio|Sagebrush Bound}","Random House Audio",,
"title","1.0","title-{goodreads_319+goodreads_49747+recommendation_10947+recommendation_167+recommendation_5071+recommendation_6397+recommendation_65667+recommendation_7721}","goodreads_319+goodreads_49747+recommendation_10947+recommendation_167+recommendation_5071+recommendation_6397+recommendation_65667+recommendation_7721","{Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary|Bridget Jones's Diary}","Bridget Jones's Diary",,
"authors","0.8","authors-{goodreads_21423+kindle_11210+recommendation_12890+recommendation_28244+recommendation_80019}","goodreads_21423+kindle_11210+recommendation_12890+recommendation_28244+recommendation_80019","{[de.unimannheim.wdi.model.Author@cf87ba8a]|[de.unimannheim.wdi.model.Author@cf87ba8a]|[de.unimannheim.wdi.model.Author@f293a68a]|[de.unimannheim.wdi.model.Author@cf87ba8a]|[de.unimannheim.wdi.model.Author@cf87ba8a]}","[de.unimannheim.wdi.model.Author@f293a68a, de.unimannheim.wdi.model.Author@cf87ba8a]",,
"title","1.0","title-{goodreads_954+recommendation_181324+recommendation_58134}","goodreads_954+recommendation_181324+recommendation_58134","{Magician|Magician|Magician}","Magician",,
"title","1.0","title-{goodreads_9574+recommendation_152509+recommendation_32119}","goodreads_9574+recommendation_152509+recommendation_32119","{If You Take a Mouse to the Movies|If You Take a Mouse to the Movies|If You Take a Mouse to the Movies}","If You Take a Mouse to the Movies",,
"authors","1.0","authors-{goodreads_28924+recommendation_100728+recommendation_118069+recommendation_13942}","goodreads_28924+recommendation_100728+recommendation_118069+recommendation_13942","{[de.unimannheim.wdi.model.Author@a5b4f54]|[de.unimannheim.wdi.model.Author@a5b4f54]|[de.unimannheim.wdi.model.Author@a5b4f54]|[de.unimannheim.wdi.model.Author@a5b4f54]}","[de.unimannheim.wdi.model.Author@a5b4f54]",,
"title","1.0","title-{goodreads_30094+recommendation_101189+recommendation_55226}","goodreads_30094+recommendation_101189+recommendation_55226","{The Call of the Wild|The Call of the Wild|The Call of the Wild}","The Call of the Wild",,
"title","1.0","title-{goodreads_1381+kindle_9900+recommendation_106740+recommendation_13677+recommendation_223746+recommendation_270304+recommendation_43662+recommendation_73613+recommendation_92194}","goodreads_1381+kindle_9900+recommendation_106740+recommendation_13677+recommendation_223746+recommendation_270304+recommendation_43662+recommendation_73613+recommendation_92194","{Silent Spring|Silent Spring|Silent Spring|Silent Spring|Silent Spring|Silent Spring|Silent Spring|Silent Spring|Silent Spring}","Silent Spring",,
"publisher","1.0","publisher-{recommendation_18891+recommendation_19061+recommendation_4541+recommendation_67787}","recommendation_18891+recommendation_19061+recommendation_4541+recommendation_67787","{Berkley Publishing Group|Berkley Publishing Group|Berkley Publishing Group|Berkley Publishing Group}","Berkley Publishing Group",,
"title","1.0","title-{goodreads_47606+recommendation_133411}","goodreads_47606+recommendation_133411","{Anvil of Stars|Anvil of Stars}","Anvil of Stars",,
"publisher","0.6666666666666666","publisher-{recommendation_30547+recommendation_58037+recommendation_64765}","recommendation_30547+recommendation_58037+recommendation_64765","{St. Martin's Press|St Martins Pr|St. Martin's Press}","St. Martin's Press",,
"authors","0.75","authors-{goodreads_7118+recommendation_1861+recommendation_239935+recommendation_6622}","goodreads_7118+recommendation_1861+recommendation_239935+recommendation_6622","{[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@7082e74c]|[de.unimannheim.wdi.model.Author@a937cf6c]|[de.unimannheim.wdi.model.Author@a937cf6c]}","[de.unimannheim.wdi.model.Author@a937cf6c, de.unimannheim.wdi.model.Author@7082e74c]",,
"authors","0.9523809523809523","authors-{goodreads_15498+goodreads_15649+goodreads_21840+goodreads_22038+goodreads_24099+goodreads_26377+goodreads_28538+goodreads_31412+goodreads_46615+goodreads_481+goodreads_48727+kindle_48027+recommendation_10464+recommendation_108113+recommendation_122988+recommendation_136526+recommendation_186720+recommendation_207353+recommendation_47927+recommendation_85697+recommendation_91351}","goodreads_15498+goodreads_15649+goodreads_21840+goodreads_22038+goodreads_24099+goodreads_26377+goodreads_28538+goodreads_31412+goodreads_46615+goodreads_481+goodreads_48727+kindle_48027+recommendation_10464+recommendation_108113+recommendation_122988+recommendation_136526+recommendation_186720+recommendation_207353+recommendation_47927+recommendation_85697+recommendation_91351","{[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@cb5a537e]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]|[de.unimannheim.wdi.model.Author@706abab4]}","[de.unimannheim.wdi.model.Author@cb5a537e, de.unimannheim.wdi.model.Author@706abab4]",,
"title","1.0","title-{goodreads_44378+recommendation_212664+recommendation_230466}","goodreads_44378+recommendation_212664+recommendation_230466","{Sins|Sins|Sins}","Sins",,
"authors","1.0","authors-{goodreads_12085+recommendation_71030}","goodreads_12085+recommendation_71030","{[de.unimannheim.wdi.model.Author@b00b25d4]|[de.unimannheim.wdi.model.Author@b00b25d4]}","[de.unimannheim.wdi.model.Author@b00b25d4]",,
"publisher","0.0","publisher-{recommendation_191577+recommendation_204414+recommendation_266452}","recommendation_191577+recommendation_204414+recommendation_266452","{Henry Holt &amp; Co|Back Bay Books|Little Brown &amp; Co}","Little Brown &amp; Co",,
"publisher","1.0","publisher-{recommendation_7007}","recommendation_7007","{Replica Books}","Replica Books",,
"title","1.0","title-{goodreads_24292+goodreads_279+recommendation_217770+recommendation_2260+recommendation_229202+recommendation_85420+recommendation_98546}","goodreads_24292+goodreads_279+recommendation_217770+recommendation_2260+recommendation_229202+recommendation_85420+recommendation_98546","{King Lear|King Lear|King Lear|King Lear|King Lear|King Lear|King Lear}","King Lear",,
"authors","1.0","authors-{goodreads_30159+kindle_715+recommendation_16014+recommendation_213245+recommendation_65626}","goodreads_30159+kindle_715+recommendation_16014+recommendation_213245+recommendation_65626","{[de.unimannheim.wdi.model.Author@468b918c]|[de.unimannheim.wdi.model.Author@468b918c]|[de.unimannheim.wdi.model.Author@468b918c]|[de.unimannheim.wdi.model.Author@468b918c]|[de.unimannheim.wdi.model.Author@468b918c]}","[de.unimannheim.wdi.model.Author@468b918c]",,
"title","1.0","title-{goodreads_273+goodreads_53337+recommendation_103833+recommendation_16827+recommendation_2367+recommendation_264290+recommendation_42288+recommendation_63055+recommendation_7094}","goodreads_273+goodreads_53337+recommendation_103833+recommendation_16827+recommendation_2367+recommendation_264290+recommendation_42288+recommendation_63055+recommendation_7094","{Othello|Othello|Othello|Othello|Othello|Othello|Othello|Othello|Othello}","Othello",,
"title","1.0","title-{goodreads_14707+recommendation_71734+recommendation_80935}","goodreads_14707+recommendation_71734+recommendation_80935","{Sense of Evil|Sense of Evil|Sense of Evil}","Sense of Evil",,
"authors","1.0","authors-{goodreads_7304+recommendation_167047}","goodreads_7304+recommendation_167047","{[de.unimannheim.wdi.model.Author@cdd06e62]|[de.unimannheim.wdi.model.Author@cdd06e62]}","[de.unimannheim.wdi.model.Author@cdd06e62]",,
"publisher","1.0","publisher-{recommendation_228290}","recommendation_228290","{Anchor}","Anchor",,
